name,english
F05N13,They are going together to the 40th-day memorial ceremony of the late Amir Reza.
F05N14,"Jamal, however, avoids confronting his own emptiness and leaves the gathering with an excuse."
F05N15,"The transplant team is satisfied with the result of the operation, and Amir will be transferred from the ICU to the ward."
F05N16,"Delina informs her father, Jamal Kalami, about the matter."
F05N17,"On the other hand, Dr. Delina Kalami, a resident of the transplant team, discovers that the donor of Amir Shafagh's heart is none other than his father's cousin, whom they had lost contact with for years due to family disputes."
F05N18,"In such circumstances, Mahtab, Amir's inconsiderate fiancée, insists on setting a definitive date for their engagement party."
F05N19,"The conversation between these two turns into an argument, and Amir doesn’t get involved."
F05N20,"The shared memory related to the time when Dr. Jahangiri and Jamal Kalami had experienced on the western fronts, in a region called Bajar."
F05N21,"In the previous episodes of this profile, we heard that Amir Reza Sharifi's heart is entrusted to Amir Shafaq under the condition of remaining anonymous. However, over time, Amir begins to share information about the eight-year war."
F05N22,Dr. Jahangiri considers such disorders to be caused by the side effects of medications that Amir is compelled to take.
F05N23,"In the previous episodes, we heard that Amir, who had gone to visit Dr. Jahangiri, encountered a different account of events related to the wartime period."
F05N24,Amir comes home from the hospital to prepare for their engagement party with his fiancée Mahtab.
F05N25,"Dr. Jahangiri attributes the occurrence of such disorders to the side effects of the medications Amir has to take, but over time, Amir begins to hear a voice within himself."
F05N26,"The repetition of this sound unsettles Amir, and eventually, through Amir's adventures, he manages to connect with his inner voice."
F05N27,"In front of his worried mother's eyes, who thinks Amir has become delusional, he starts to fight against the desires of his young heart to overcome this problem."
F05N28,"The struggle that apparently leads to Amir's victory after a week. But just when Amir thinks he has managed to control his heart, new symptoms emerge. Symptoms that even Dr. Jahangiri, the team psychologist, cannot interpret."
F05N29,This is while Amir's heart recalls an incident upon hearing Morteza's name from Naeem's lips.
F05N30,"Therefore, although Amir was hurt at heart, he returned to Tehran hopeful for Naeem's promise."
F05N31,He promises Amy to find their address and location for her.
F05N32,"Although Naeem cannot help Amir in finding Reza's belongings, after seeing the photo of eleven people, he identifies two individuals in that photo."
F05N33,"In the previous parts, we heard that Amir, in search of any trace of Gholam Reza, who had gone missing in action, ends up in Kermanshah and the Naft Shahr region to meet the second person from the group of eleven veterans from the war and battlefront."
F05N34,The doctor's diagnosis is a type of advanced heart infection.
F05N35,Amir is hospitalized overnight in a Tehran hospital.
F05N36,"Hoping that by identifying the three remaining people in that photo, he might find the answer to his question."
F05N37,"Ata and Naeem, following the doctor's advice at the Asaluyeh clinic, are sending him back to Tehran on the first flight."
F05N38,"In the previous parts, we heard that what happened in Oslo made Amir's heart sick."
F05N39,The hidden struggle between Amir and his heart continues as Amir is compelled to organize the workshop's affairs and recover his claims from Zandiyeh.
F05N40,"Except for Morteza, there are others to help him find Gholam Reza's address."
F05N41,"Amir, deeply saddened by the news of Morteza's death, once again finds himself in conflict with his own heart."
F05N42,"On the other hand, we heard that Amir is still waiting for Ms. Ali Pour's promise to give him the address of his uncle Morad. However, Ali Pour continues to avoid confronting her uncle, and even though she has learned that Morad has been hospitalized in Tehran, she does not intend to visit him."
F05N43,"The possibility that another unknown person in that photo was the messenger of this note once again makes Amir determined to go against Mrs. Alipour’s inclination and see her uncle, Morad."
F05N44,Amir encourages Delina to ask her father to explain everything to her.
F05N45,"Despite all this, neither of the two wants to answer Delina's question, who doesn't know what happened between them in previous years."
F05N46,"Hello friends, in the previous episode, we heard that Jamal encounters Pir Ali in his mind once again, and it becomes clear that Pir Ali also remembers Jamal well."
F05N47,The only thing Amir is capable of is ignoring his inner voice and getting through life.
F05N48,"In this meeting, Amir learns that Gholam Reza, Mah Banoo's other son, went missing and disappeared years ago during the war, and Amir Reza had promised his mother to find a trace of his lost brother—a promise he was never able to fulfill during his lifetime."
F05N49,"In the previous episodes, we heard that in the conflict between Amir Shafaq and his heart, Amir Shafaq is defeated and goes to meet Mah Banoo."
F05N50,"In the previous episodes of this narrative, we heard that in the struggle between Amir Shafaq and his heart's light, Amir reluctantly gives in to his heart's desire and goes to meet Mah Banoo, Amir Reza's mother."
F05N51,But Amir Reza has promised his mother to find a trace of his lost brother.
F05N52,Shoko assists Khatoon in the delivery of one of the local women and then waits for the ambulance to return.
F05N53,Sharing these memories leads Delina to believe that her mother ended up in a minefield upon returning to Sardasht.
F05N54,"Lady Ghabeli, an old local woman who reminds Delina of her mother due to her visits to the hospital during the war, talks to Delina about her last meeting with Shokouh. She recounts the day she saw her being transported by ambulance near one of the villages around Sardasht."
F05N55,"In the previous episode, we went to Sardasht and joined Delina, who, with the help of Daikeh, Pir Ali's wife, went to meet Khatoon."
F05N56,"Dr. Jahangiri tells Amir about a cold snowy night when he and Jamal Kalami, along with a Kurdish Muslim Peshmerga, were on their way back to the base. However, heavy snowfall and Dr. Jahangiri's kidney illness led them to a humble clay hut, where they found themselves surrounded by wolves."
F05N57,"This situation, with the killing of Shiro, their guard dog, by the wolves on one hand, and Jamal Kalami's distrust of their local guide on the other, gradually turned into a difficult situation, the memory of which, even after thirty years, still torments Dr. Jahangiri's soul."
F05N58,"In the previous part, we heard that with the revelation of what happened in the past between Jamal and Morteza, it becomes clear to Amir that Gholam Reza spent part of his captivity in Abu Ghraib."
F05S01,These stories never end.
F05S02,Do your best to eradicate ignorance.
F05S03,The heartbroken and desperate mother goes to Mah Banoo and asks her to pray for her child.
F05S04,Your anxiety has another reason.
F05W01,Who had taken Maziar there?
F05W02,Could it be that Mr. Math has also smoked something and that’s why he’s like this?
F05W03,"""Hey, is it written on the plaque that Farhoud Zandi is a licensed attorney?"""
F06A01,This is none of your business. I'm following the lady's orders.
F06A02,"Blaze has been here for ten years, and I've been working here for eight years, while you've only been here for a few weeks, and in that short time, you're already messing everything up?"
F06F01,"It's nothing, ma'am. After Mr. Kent left, I clarified the matter."
F06H01,"I haven't opened the box yet, but I know my ex is inside it. You open it yourself."
F06H02,"Therefore, you see that you should not refrain from telling this compelling lie."
F06H03,Negotiation
F06H04,I deeply value you.
F06H05,He told me that he's mad at me.
F06H06,"Of course, I will definitely do it. Go, my dear, go."
F06H07,That's my photo because they won't be coming back anytime soon. You can give me the algebra without worry so I can give it to them.
F06H08,What an intriguing world they create.
F06H09,"Rest assured, he was a frame maker worker. I took the pledge from him, and it's with me."
F06H10,There is no reason for your sadness.
F06H11,Because he already knew me and had seen me at Mr. Remi's house.
F06N01,Where did they tell you that you could find Aero here?
F06S01,"Ma'am, anyone else in my place would have made these mistakes. Mr. Remy told me that his nephew loves me. In front of me, he rejected marrying a wealthy woman. His uncle told me that I am the reason. When I realized he had given a woman's photo to be framed, I thought for sure that woman was me."
F06S02,"With the way you kicked me out of the room, it’s clear that my presence isn’t pleasant for you. So, I think it’s better if I ask for permission to leave."
F06S03,Because I'm very disappointed.
F06S04,"After all the kindness you showed me, now that I am facing your indifference and have lost your trust, what can I do for you?"
F06S05,"Durante just talked to me right now. I was his enemy, but now I’m not anymore because he told me everything. He had never seen me. Durante was not guilty of anything."
F06S06,"Why did you let me develop feelings for a man who wasn’t meant for me? For a man who is worthy of You? And I caused him irreparable pain. A pain that I, too, am entangled in."
F06S07,Give me back your friendship so that I can be satisfied.
F06S08,"Do not disregard my love, ma'am; nothing in this world is as dear to me as you are."
F06S09,Two cups and a glass of water.
F06W01,They tore it.
F06W02,"Mr. Remy, are you talking about Durant? Is it because of his love for me that he gives up on being steadfast?"
F06W03,"""Break it, ma'am?"""
F07A01,"Ah, her external gaze has changed."
F07A02,We refer to the law.
F07A03,You have no right to constantly reproach my brother just because he eats a piece of bread here with us.
F07A04,My God
F07A05,That's enough.
F07A06,"You made a typo, Mary."
F07A07,I'm not saying that it never rains there.
F07A08,Joseph has traded these.
F07A09,"You, someone else shouldn't interfere, dear mother."
F07A10,You are a strange person.
F07A11,But have you ever thought about what the future holds for a daughter as beautiful as Margarita?
F07A12,What do you mean? Speak properly.
F07A13,Say something then.
F07A14,Why do you want to involve others in your work?
F07A15,Fool
F07A16,"Truly, you are nothing more than a foolish lunatic."
F07A17,"Well, let it hit."
F07A18,"What? Why are you looking at me like that? Yes, you didn’t leave either, and that’s a fact."
F07A19,"Their situation, living conditions, thoughts, and social status have changed significantly."
F07A20,Sleep very well.
F07A21,"Because I don't know in which mess I am living, Vector."
F07A22,"Used, old, and tasteless."
F07A23,"I want to, but you don't. I really want to, I'm serious. Look, I want money, money."
F07A24,The feeling that drives us crazy and pure.
F07A25,"I don't care at all, I just want to go somewhere."
F07A26,Never joke with me like this.
F07A27,Why should everyone even know how much you earn?
F07A28,Did you finish it yet?
F07A29,You have no choice.
F07A30,One becomes hateful of him/her.
F07A31,What do you call this behavior of his? Politeness? Upbringing? Or something else?
F07A32,"It was you who made it possible for the job, position, and money."
F07A33,Which lady said that only she can study medicine?
F07A34,"Go knock on his door, and when he opens it, tell him, ""Here, this is all yours, it's all yours."""
F07A35,Why don't you have any movement or activity at all?
F07A36,We lived in the sludge of life so you could support a man who only thought of himself.
F07A37,"All of Librobia has one hospital, and they are building a new research department."
F07A38,Because you can't have a short and simple conversation with your own brother.
F07A39,Depriving the child too?
F07A40,Do you want?
F07A41,I don't like hearing these things at all.
F07A42,Doesn't Mr. Salman have to leave?
F07A43,That desk alone is worth a hundred dollars.
F07A44,"I don't like doing business this way, Mr. Salman."
F07A45,"It was sold out, very good, just throw it all away."
F07A46,"Father had four thousand dollars, it was all a show, he was all calculating, and you knew it in your heart."
F07A47,What's the use?
F07A48,"""This is what's driving us crazy."""
F07A49,"""Don't you hear how I am?"""
F07A50,I think Walter followed you with good intentions.
F07A51,I don't understand why you can't accept it in front of Nadesh?
F07A52,What's wrong with telling the truth?
F07A53,What do you want?
F07A54,Please leave me alone.
F07A55,Alright? I'm leaving here. Okay?
F07A56,"Alright, what does it matter?"
F07A57,"God, does it mean this sadness between these two should never end?"
F07A58,Isn't it?
F07A59,What are you saying?
F07A60,Did you know money solves problems?
F07A61,"It's all a show, a ridiculous, meaningless performance."
F07A62,"Even after our marriage, you kept doing this."
F07A63,She's supposedly a doctor.
F07A64,"Why are you doing this? This morning, you were almost arrested too."
F07H01,"It's true that we're going through tough days now, but at least we can look back and remember the joy of having beautiful shoes, elegant and splendid clothes, parties, and the carefree moments we had."
F07H02,"Thank you, Olya."
F07H03,Secretly reading those novels has a pleasure I don't want to take away from Missid.
F07H04,"You're really becoming a person because you're starting to understand things, like a child who cries when they're born because they've just realized certain things."
F07H05,"I'd be happy for them to choose whatever they want, but only as a gift."
F07H06,"I didn’t do a favor, my dear niece, because your mother insisted; in return for them, give me money."
F07H07,"When I married Eustace Wright, I felt like I was the happiest girl in Sarazar Byron. Who would have thought that Eustace would end up with tuberculosis?"
F07H08,Thank you for putting in the effort and coming here.
F07H09,So I decided to drop this approach.
F07H10,Since when has being happy been a problem?
F07H11,Thank God that now he/she is feeling better.
F07H12,"When Dr. Neville said he didn’t think it was a serious issue, I was so relieved that it’s indescribable."
F07H13,And that's exactly why I want to help them become independent.
F07N01,"Give me that pillow, please."
F07N02,Who were you bad-mouthing under your breath just now?
F07N03,This question has never left my mind.
F07N04,"Alright, I believe it."
F07N05,The discussion is not about comparison; I'm worried.
F07N06,"Be careful with the basics, old man."
F07N07,"Yesterday, I heard some things."
F07N08,Please cheer for the boys.
F07N09,Why did you change your job?
F07N10,Dinner is ready.
F07N11,You better sit down and listen to what we say.
F07S01,"I'm Jiye, a poor gardener."
F07S02,Soup
F07S03,We had trouble with the showers.
F07S04,He has been sending money all these years.
F07S05,"When Quentin was born, he kicked them both out of the house."
F07S06,"He said to bring it, it becomes home."
F07S07,"In these 17 years, he has sent money seven times."
F07S08,He used to send money every month to take care of Quentin.
F07S09,I don’t know what’s wrong with me.
F07S10,I am a woman with Patty.
F07S11,"""I wish all children were like you."""
F07S12,"""Are you playing, Mickey?"""
F07S13,And I trade yoga.
F07S14,I feel like I haven't understood you well during these years.
F07S15,That same night he had come to me to let me know that he wanted to marry the girl.
F07S16,"No, George didn’t die. I lied. Vicky covered her mouth with a hand, but that girl was alive, although she had completely lost her face."
F07S17,The things that exist in the world are not inherently sad.
F07S18,I knew well that Nancy wouldn’t even think that Michael would agree to this deal; maybe that’s why the girl consented.
F07S19,"Yes, it is a big fault too."
F07S20,"George, I just took it from him without hesitation."
F07S21,"The solution is that if Michael hears everything from Nancy, he will definitely explain his own innocence and lack of knowledge, and if they reconcile with each other, Michael will surely forgive me."
F07S22,Nancy is dead.
F07S23,"Nancy, I'm not feeling well at all, and for me, you're no longer Nancy McAllister either."
F07S24,"After you, they buried themselves in work."
F07S25,"I can't, I can't, can I tell you or not?"
F07S26,Do you still love me this much? Do you still care for me this much?
F07S27,Why?
F07S28,The girl Michael was in love with
F07S29,Do we remember Michael's near-accident?
F07S30,I can't believe Pasha has committed suicide.
F07S31,Why did they mention this height? How could you bring me?
F07S32,"My God, how miserable we are. What has happened to Blue? What should we do?"
F07S33,"""Forgive me, Nanaboim said to me."""
F07S34,Monsieur Komarovsky
F07S35,He's my husband.
F07S36,I prefer not to talk about that anymore.
F07S37,Please leave this matter for another time. I can continue.
F07S38,This period
F07S39,That man ruined the passionate life of Pasha and me.
F07S40,"A very renowned lawyer in Moscow was a friend of my father. After my father's death, when we were in poverty and misery, he provided us with financial help. He had nothing interesting or extraordinary about him."
F07S41,How much this matter brings us closer to each other.
F07S42,"So it's true that he committed suicide in that house, Yuarikino."
F07S43,"They kept saying it a lot, but I didn’t believe it."
F07S44,This work helps me feel at peace.
F07S45,Now I want to be alone with Yura.
F07S46,Is his research completely satisfactory?
F07S47,"Currently, he/she is resting."
F07S48,What a beautiful jacket you're wearing!
F07W01,Dollar
F07W02,The one who had no money.
F07W03,Couldn't you talk to yourself?
F07W04,"Oh, Sichi"
F07W05,Nerves
F07W06,Why?
F07W07,Isn't this the same radio you said one night picked up Tokyo Sky?
F08N01,"If you want, I'll help you so we can go to his/her room together."
F08W01,"The lady, Marguerite Porchet?"
F09A01,Get out. Get out before I throw you out like a dog.
F09A02,I gave you the money so you would leave them alone.
F09A03,I didn't want to take undeserved money from those poor people.
F09A04,Who put this nonsense together?
F09A05,I don't trust you.
F09A06,"For Gomsha, for Gomsha, for outside."
F09A07,"I told you that even if you tear me to pieces, I wouldn't slander people."
F09A08,See how they took ownership of everything? You do the same.
F09A09,But you can't spend this kind of money.
F09A10,"When I don't talk to you, what's the point?"
F09A11,"You wanted money, and I got it for you, so what else are you saying?"
F09A12,Someone who doesn't have the courage to admit what they've done is not a man.
F09A13,"Your Excellency, you are a very good person, but I don't want to live with you. What are you even saying?"
F09F01,"Oh God, could it be? Stop, what's going on?"
F09F02,"No, no, no, for God's sake, don't let them come here."
F09H01,What a nice color. Just the color I like.
F09H02,This pause will definitely be at some point.
F09H03,This fabric suits me very well.
F09H04,Until the third of Jordan
F09N01,The lady is right.
F09N02,You sleep until the west.
F09N03,Come right here in the vestibule so I can inform the lady of the house.
F09N04,He worked and struggled to raise me.
F09N05,Aghlam can handle everything.
F09N06,"Which tea is good, sir?"
F09N07,"When Dad died, my mom brought me to Tehran and became a maid in a house."
F09N08,"Hello, Mr. Mahmoud."
F09N09,"I want to knock on the door, but I can't bring myself to do it."
F09S01,Why? Why do they want to imprison us? Why do they want to distance us from themselves?
F09S02,"Hope, I have expectations."
F09S03,"A helpless girl like me, with no path ahead, what can she do?"
F09S04,What kind of times am I having?
F09S05,"I thought Abbas would really be a man and become my husband, someone I could rely on, but he had other thoughts and ideas in his mind."
F09S06,"In all these years that I've known myself, I've seen nothing but bad from everyone except you."
F09S07,"""I centered it on something."""
F09S08,You were better off not coming.
F09S09,Don't torment me so much.
F09S10,"God, have mercy yourself, save them yourself."
F09S11,"Dad, Dadcho"
F09S12,My mother and I have nothing but this property that is my father's inheritance. How could he possibly have granted it to you?
F09S13,"I want to say that if I haven't been able to fully meet your satisfaction so far, I apologize."
F09S14,"Honestly, I can't go any further than this."
F09S15,But what if your mother didn't agree?
F09S16,"I made a mistake, ma'am."
F09S17,Do you have the patience for me to talk to you for a couple of words?
F09S18,I was a child when my father died.
F09S19,She was a hardworking and selfless woman.
F09W01,"Oh, why did you close?"
F09W02,What do you have for me to eat?
F09W03,We
F09W04,Wash it yourself.
F10A01,"Watch what he's saying, for God's sake!"
F10A02,"Originally, in this house, no one dares to tell this girl, ""There’s something wrong with you."""
F10A03,"We consoled ourselves, worked hard, and raised children."
F10A04,The jar turned out to be too heavy for the girl.
F10A05,You must wash those impure hands in Kurr water three times.
F10A06,"After all these incidents, you still haven't learned?"
F10A07,"Didn't they teach you manners, may God rest their soul?"
F10A08,"I keep saying eat less, but you're surely going to mess things up again, right?"
F10A09,The man has abandoned us and is sticking to the maid girl.
F10A10,You thought I didn't know that you secretly take the meat out of the stew pot and eat it plain?
F10A11,"If someone else were in my place, they would have lashed your legs with a pomegranate branch until they bled."
F10A12,Are you finally going to take my sorrow away or not?
F10A13,"Let me pamper my friend and spoil them. No, by God, they eat well, dress well, and have a warm and soft place. What else could they want?"
F10A14,"Oh, look for God's sake, is this even a child you’ve raised?"
F10A15,"He pushed a plate of money in front of him to fix that, then set it aside."
F10A16,"Mrs. Akbari, what prayers are the servants saying?"
F10A17,Everything about this girl has set her soul on fire.
F10A18,"""Tempted with free bread."""
F10A19,"I said shut up, don't talk nonsense, girl."
F10A20,He has no right; his family has no right. Who is he to want to push you out of this house in the pouring rain?
F10A21,"Now, with those piercing eyes of yours, you pushed us into that corner—so, for what?"
F10A22,Is Tiala's group going to Kumor Peak?
F10A23,Do you want to butcher and execute me now?
F10A24,"On the boss's orders, I soaked his head and threw him in there to teach him a lesson."
F10A25,"Okay, okay, don't be so sympathetic toward them."
F10A26,Let him hit his head against the wall to understand how much oil a pound of butter gives.
F10A27,"Well, it has long been said: ""People get what they deserve."""
F10A28,What did I even do to him?
F10A29,"Young man, why don't you answer?"
F10A30,"""She/He has no right to get stubborn."""
F10A31,"Tell me, what did I do to it?"
F10A32,"I got too picky, I did well."
F10A33,"She complained a little and said, ""I have a headache."" I said, ""Go lie down and rest; you'll feel better."""
F10A34,"Eats well, dresses well, and relaxes well—what more could you want?"
F10A35,"Who is reaping the reward of this effort, sir?"
F10A36,Men who freeload and take up space are not wanted.
F10A37,You have slept peacefully in the room.
